"hear","age","gender"
"Yanny",40,"Female"
"Yanny",48,"Male"
"Yanny",32,"Female"
"Laurel",47,"Female"
"Laurel",60,"Male"
"Yanny",11,"Female"
"Laurel",62,"Male"
"Laurel",10,"Female"
"Yanny",33,"Male"
"Laurel",49,"Male"
"Laurel",66,"Female"
"Yanny",21,"Female"
"Laurel",54,"Female"
"Laurel",37,"Female"
"Yanny",35,"Female"
"Yanny",44,"Female"
"Yanny",25,"Male"
"Laurel",38,"Female"
"Laurel",49,"Female"
"Yanny",26,"Male"
"Yanny",39,"Male"
"Yanny",25,"Male"
"Laurel",50,"Female"
"Yanny",16,"Male"
"Laurel",80,"Male"
"Yanny",47,"Female"
"Yanny",17,"Male"
"Yanny",25,"Male"
"Yanny",18,"Male"
"Laurel",65,"Female"
"Laurel",62,"Female"
"Laurel",69,"Female"
"Laurel",21,"Female"
"Yanny",23,"Male"
"Yanny",32,"Female"
"Laurel",44,"Male"
"Laurel",72,"Female"
"Yanny",10,"Male"
"Laurel",57,"Female"
"Laurel",66,"Male"
"Yanny",57,"Female"
"Laurel",68,"Female"
"Laurel",58,"Male"
"Laurel",6,"Male"
"Laurel",40,"Male"
"Laurel",34,"Male"
"Laurel",82,"Male"
"Yanny",38,"Female"
"Yanny",36,"Female"
"Laurel",33,"Male"
"Yanny",6,"Male"
"Laurel",58,"Male"
"Yanny",21,"Female"
"Yanny",25,"Male"
"Yanny",26,"Female"
"Yanny",21,"Female"
"Laurel",51,"Male"
"Yanny",33,"Male"
"Yanny",37,"Male"
"Laurel",62,"Male"
